site,product,date,year,month,n_images,mean_cloud_pct
Kizilirmak Delta,DSWX_HLS,2025-01,2025,1,52,43.38461538461539
Kizilirmak Delta,DSWX_HLS,2025-02,2025,2,34,77.52941176470588
Kizilirmak Delta,DSWX_HLS,2025-03,2025,3,57,42.40350877192982
Kizilirmak Delta,DSWX_HLS,2025-04,2025,4,60,68.46666666666667
Kizilirmak Delta,DSWX_HLS,2025-05,2025,5,93,38.236559139784944
Kizilirmak Delta,DSWX_HLS,2025-06,2025,6,90,37.25555555555555
Kizilirmak Delta,DSWX_HLS,2025-07,2025,7,83,31.63855421686747
Kizilirmak Delta,DSWX_HLS,2025-08,2025,8,82,31.26829268292683
Kizilirmak Delta,DSWX_HLS,2025-09,2025,9,85,53.529411764705884
Kizilirmak Delta,DSWX_HLS,2025-10,2025,10,100,47.59
Kizilirmak Delta,DSWX_HLS,2025-11,2025,11,138,50.61594202898551
Kizilirmak Delta,DSWX_HLS,2025-12,2025,12,175,58.29142857142857
Kizilirmak Delta,DSWX_HLS,2026-01,2026,1,65,79.63076923076923
Kizilirmak Delta,DSWX_HLS,2026-02,2026,2,64,49.75
Kizilirmak Delta,DSWX_HLS,2026-03,2026,3,65,52.33846153846154
Kizilirmak Delta,DSWX_HLS,2026-04,2026,4,76,40.31578947368421
Kizilirmak Delta,DSWX_HLS,2026-05,2026,5,82,60.40243902439025
Kizilirmak Delta,DSWX_S1,2023-04,2023,4,0,
Kizilirmak Delta,DSWX_S1,2023-05,2023,5,0,
Kizilirmak Delta,DSWX_S1,2023-06,2023,6,0,
Kizilirmak Delta,DSWX_S1,2023-07,2023,7,0,
Kizilirmak Delta,DSWX_S1,2023-08,2023,8,0,
Kizilirmak Delta,DSWX_S1,2023-09,2023,9,0,
Kizilirmak Delta,DSWX_S1,2023-10,2023,10,0,
Kizilirmak Delta,DSWX_S1,2023-11,2023,11,0,
Kizilirmak Delta,DSWX_S1,2023-12,2023,12,0,
Kizilirmak Delta,DSWX_S1,2024-01,2024,1,0,
Kizilirmak Delta,DSWX_S1,2024-02,2024,2,0,
Kizilirmak Delta,DSWX_S1,2024-03,2024,3,0,
Kizilirmak Delta,DSWX_S1,2024-04,2024,4,0,
Kizilirmak Delta,DSWX_S1,2024-05,2024,5,0,
Kizilirmak Delta,DSWX_S1,2024-06,2024,6,0,
Kizilirmak Delta,DSWX_S1,2024-07,2024,7,0,
Kizilirmak Delta,DSWX_S1,2024-08,2024,8,28,
Kizilirmak Delta,DSWX_S1,2024-09,2024,9,64,
Kizilirmak Delta,DSWX_S1,2024-10,2024,10,54,
Kizilirmak Delta,DSWX_S1,2024-11,2024,11,67,
Kizilirmak Delta,DSWX_S1,2024-12,2024,12,80,
Kizilirmak Delta,DSWX_S1,2025-01,2025,1,64,
Kizilirmak Delta,DSWX_S1,2025-02,2025,2,56,
Kizilirmak Delta,DSWX_S1,2025-03,2025,3,64,
Kizilirmak Delta,DSWX_S1,2025-04,2025,4,56,
Kizilirmak Delta,DSWX_S1,2025-05,2025,5,91,
Kizilirmak Delta,DSWX_S1,2025-06,2025,6,126,
Kizilirmak Delta,DSWX_S1,2025-07,2025,7,147,
Kizilirmak Delta,DSWX_S1,2025-08,2025,8,139,
Kizilirmak Delta,DSWX_S1,2025-09,2025,9,131,
Kizilirmak Delta,DSWX_S1,2025-10,2025,10,277,
Kizilirmak Delta,DSWX_S1,2025-11,2025,11,238,
Kizilirmak Delta,DSWX_S1,2025-12,2025,12,176,
